A.A. Milne	1882
Albert Camus	1913
Aldous Huxley	1894
Alexandre Dumas	1802
Alfred Döblin	1878	
Alice Walker	1944
Anthony Burgess	1917
Anthony Powell	1905
Anton Chekhov	1860	
Arnold Bennett	1867
Arthur Golden	1956	
Arthur Koestler	1905
Astrid Lindgren	1907
Audrey Niffenegger	1963	
Ayn Rand	1905
Barbara Kingsolver	1955
Booth Tarkington	1869
Bram Stoker	1847
Carson McCullers	1917	
Charles de Lint	1951
Charles Dickens	1812
Charles Frazier	1950
Chinua Achebe	1930
Chuck Palahniuk	1962
Cormac McCarthy	1933	
Dan Brown	1964
Daniel Defoe	1660
Dante Alighieri	1265
Daphne du Maurier	1907
Dashiell Hammett	1894
Denis Diderot	1713
D.H. Lawrence	1885
Don DeLillo	1936
Doris Lessing	1919
Douglas Adams	1952
E.B. White	1899
Edith Wharton	1862
E.L. Doctorow	1931
Elizabeth Bowen	1899
Elsa Morante	1912	
E.M. Forster	1879
Emily Brontë	1818	
E.R. Eddison	1882	
Erich Maria Remarque	1898
Ernest Hemingway	1899
Erskine Caldwell	1903
Erskine Childers	1870	
Evelyn Waugh	1903
Federico García Lorca	1898	
Fernando Pessoa	1888
Flannery O’Connor	1925	
Flann O’Brien	1911	
Ford Madox Ford	1873
François Rabelais	1494
Frank Herbert	1920
Franz Kafka	1883
F. Scott Fitzgerald	1896
Fyodor Dostoyevsky	1821
Gabriel García Márquez	1927	
George Eliot	1819
George Orwell	1903
Gertrude Stein	1874
Giacomo Leopardi	1798
Giovanni Boccaccio	1313
Graham Greene	1904	
Günter Grass	1927	
Gustave Flaubert	1821
Halldór Laxness	1902	
Hans Christian Andersen	1805
Harper Lee	1926
Helen Fielding	1958	
Henrik Ibsen	1828
Henry Green	1905
Henry James	1843
Henry Miller	1891
Herman Melville	1819
Hermann Hesse	1877
H.G. Wells	1866
Honoré de Balzac	1799	
H.P. Lovecraft	1890
Ian McEwan	1948
Iris Murdoch	1919	
Italo Svevo	1861
Ivan Goncharov	1812
Jack Kerouac	1922
Jack London	1876
Jack Schaefer	1907	
James Baldwin	1924
James Dickey	1923
James Ellroy	1948
James Jones	1921
James Joyce	1882
James M. Cain	1892
James T. Farrell	1904
Jane Austen	1775
J.D. Salinger	1919
Jean Rhys	1890
Jeff Smith	1960
João Guimarães Rosa	1908	
Johann Wolfgang von Goethe	1749
John Bunyan	1628
John Cheever	1912
John Dos Passos	1896
John Fowles	1926
John Irving	1942
John Knowles	1926
John O’Hara	1905	
John Steinbeck	1902
John Updike	1932
Jonathan Swift	1667
Jorge Luis Borges	1899
Joseph Conrad	1857
Joseph Heller	1923
José Saramago	1922	
J.P. Donleavy	1926
J.R.R. Tolkien	1892	
Juan Rulfo	1917
Kate Chopin	1851
Ken Follett	1949
Ken Kesey	1935
Kenneth Grahame	1859
Khaled Hosseini	1965
Kingsley Amis	1922
Knut Hamsun	1859
Kurt Vonnegut	1922
Laurell K. Hamilton	1963
Laurence Sterne	1713
Lawrence Durell	1912	
Leo Tolstoy	1828
L. Frank Baum	1856
Louis-Ferdinand Céline	1894	
L. Ron Hubbard	1911
Lu Xun	1881
Malcolm Lowry	1909
Marcel Proust	1871
Margaret Atwood	1939	
Margaret Mitchell	1900
Marguerite Yourcenar	1903
Marilynne Robinson	1943
Mark Haddon	1962
Mark Twain	1835
Martin Amis	1949
Mary Shelley	1797
Max Beerbohm	1872	
Michel de Montaigne	1533
Mickey Spillane	1918
Miguel de Cervantes	1547
Muriel Spark	1918
Naguib Mahfouz	1911
Nathanael West	1903
Nevil Shute	1899
Nikolai Gogol	1809
Nikos Kazantzakis	1883
Norman Mailer	1923
Orson Scott Card	1951
Oscar Wilde	1854
Paul Bowles	1910
Paul Celan	1920
Paulo Coelho	1947
Philip Roth	1933
Pierre Choderlos De Laclos	1741	
Ralph Ellison	1913
Ray Bradbury	1920
Richard Adams	1920
Richard Bach	1936
Richard Hughes	1900
Richard Wright	1908
Robert Graves	1895
Robert Heinlein	1907	
Robert Holdstock	1948
Robert Louis Stevenson	1850
Robert Musil	1880
Robert Penn Warren	1905
Robert Pirsig	1928	
Robertson Davies	1913
Rudyard Kipling	1865
Salman Rushdie	1947
Samuel Beckett	1906
Samuel Butler	1774
Samuel Butler	1835
Saul Bellow	1915
Sebastian Faulks	1953	
Sherwood Anderson	1876
Shirley Jackson	1916
Sinclair Lewis	1885
Stendhal	1783
Stephenie Meyer	1973
Stephen King	1947
Tayeb Salih	1929	
Terri Windling	1958	
Theodore Dreiser	1871
Thomas Keneally	1935
Thomas Mann	1875
Thomas Pynchon	1937
Thomas Wolfe	1900	
Thornton Wilder	1897
Tom Clancy	1947
Tom Wolfe	1931
Toni Morrison	1931
Truman Capote	1924
Upton Sinclair	1878
Victor Hugo	1802
Virginia Woolf	1882
Vladimir Nabokov	1899	
V.S. Naipaul	1932
Walker Percy	1916
Wallace Stegner	1909
Walt Whitman	1819
Willa Cather	1873
William Faulkner	1897
William Gaddis	1922
William Kennedy	1928
William Makepeace Thackeray	1811
William S. Burroughs	1914
William Shakespeare	1564
William Styron	1925
W. Somerset Maugham	1874
Yasunari Kawabata	1899
Zora Neale Hurston	1891
