A Madman's Diary	Lu Xun	37
The Fountainhead	Ayn Rand	38
Anthem	Ayn Rand	33
We The Living	Ayn Rand	31
Atlas Shrugged	Ayn Rand	52
The Red and the Black	Stendhal	47
The Da Vinci Code	Dan Brown	39
Wide Sargasso Sea	Jean Rhys	76
One Flew Over The Cuckoo's Nest	Ken Kesey	27
Sometimes A Great Notion	Ken Kesey	29
Bonfire Of The Vanities	Tom Wolfe	56
Winnie the Pooh	A.A. Milne	44
Breathing Lessons	Anne Tyler	47
The War Of The Worlds	H.G. Wells	32
To Kill A Mockingbird	Harper Lee	34
Atonement	Ian McEwan	54
A Death in the Family	James Agee	46
Bone	Jeff Smith	33
Pedro Páramo	Juan Rulfo	38
The Adventures Of Huckleberry Finn	Mark Twain	49
Adventures of Huckleberry Finn	Mark Twain	49
Poems	Paul Celan	32
The Hunt For Red October	Tom Clancy	37
Advise and Consent	Allen Drury	41
Dracula	Bram Stoker	50
White Noise	Don DeLillo	49
So Big	Edna Ferber	39
The Trial	Franz Kafka	42
Stories	Franz Kafka	41
The Castle	Franz Kafka	43
Loving	Henry Green	40
The Ambassadors	Henry James	60
The Golden Bowl	Henry James	61
The Bostonians	Henry James	43
The Wings Of The Dove	Henry James	59
Portrait Of A Lady	Henry James	38
The Caine Mutiny	Herman Wouk	36
Confessions of Zeno	Italo Svevo	62
The Call Of The Wild	Jack London	27
From Here To Eternity	James Jones	30
A Portrait Of The Artist As A Young Man	James Joyce	35
Ulysses	James Joyce	40
Finnegans Wake	James Joyce	57
Pride and Prejudice	Jane Austen	38
Sense And Sensibility	Jane Austen	36
Emma	Jane Austen	40
A Thousand Acres	Jane Smiley	42
Pilgrim's Progress	John Bunyan	50
The Magus	John Fowles	40
The French Lieutenant's Woman	John Fowles	43
A Bell for Adano	John Hersey	30
The World According to Garp	John Irving	36
A Prayer For Owen Meany	John Irving	47
Appointment In Samarra	John O'Hara	29
Rabbit, Run	John Updike	28
Rabbit at Rest	John Updike	58
Rabbit Is Rich	John Updike	49
The Brief Wondrous Life of Oscar Wao	Junot Díaz	39
The Awakening	Kate Chopin	48
The Pillars Of The Earth	Ken Follett	40
Hunger	Knut Hamsun	31
