A Bell for Adano	John Hersey	1944
A Bend In The River	V.S. Naipaul	1979
Absalom, Absalom!	William Faulkner	1936
A Clockwork Orange	Anthony Burgess	1962
A Confederacy of Dunces	John Kennedy Toole	1969
A Dance To The Music Of Time	Anthony Powell	1951
A Death in the Family	James Agee	1955
A Doll's House	Henrik Ibsen	1879
Adventures of Huckleberry Finn	Mark Twain	1884
Advise and Consent	Allen Drury	1959
A Fable	William Faulkner	1954
A Farewell To Arms	Ernest Hemingway	1929
A Good Man Is Hard To Find	Flannery O'Connor	1955
A Good Scent from a Strange Mountain	Robert Olen Butler	1992
A Handful Of Dust	Evelyn Waugh	1934
A High Wind In Jamaica	Richard Hughes	1929
A House For Mr. Biswas	V.S. Naipaul	1961
Alice Adams	Booth Tarkington	1921
All Quiet On The Western Front	Erich Maria Remarque	1929
All The King's Men	Robert Penn Warren	1946
A Madman's Diary	Lu Xun	1918
American Pastoral	Philip Roth	1997
An American Tragedy	Theodore Dreiser	1925
Andersonville	MacKinlay Kantor	1955
Angle Of Repose	Wallace Stegner	1971
Animal Farm	George Orwell	1945
Anna Karenina	Leo Tolstoy	1877
Anthem	Ayn Rand	1938
A Passage To India	E.M. Forster	1924
A Portrait Of The Artist As A Young Man	James Joyce	1917
Appointment In Samarra	John O'Hara	1934
A Prayer For Owen Meany	John Irving	1989
A Room With A View	E.M. Forster	1908
Arrowsmith	Sinclair Lewis	1925
A Separate Peace	John Knowles	1959
As I Lay Dying	William Faulkner	1930
A Summons to Memphis	Peter Taylor	1986
A Tale Of Two Cities	Charles Dickens	1859
A Thousand Acres	Jane Smiley	1991
Atlas Shrugged	Ayn Rand	1957
Atonement	Ian McEwan	2002
A Town Like Alice	Nevil Shute	1950
At Swim-two-birds	Flann O'Brien	1939
At The Mountains Of Madness	H.P. Lovecraft	1936
A Visit From the Goon Squad	Jennifer Egan	2010
Babbitt	Sinclair Lewis	1922
Battlefield Earth	L. Ron Hubbard	1982
Beloved	Toni Morrison	1987
Berlin Alexanderplatz	Alfred Döblin	1929
Birdsong	Sebastian Faulks	1993
Blindness	José Saramago	1995
Blood Meridian	Cormac McCarthy	1985
Bone	Jeff Smith	1993
Bonfire Of The Vanities	Tom Wolfe	1987
Brave New World	Aldous Huxley	1932
Breathing Lessons	Anne Tyler	1988
Brideshead Revisited	Evelyn Waugh	1945
Bridget Jones's Diary	Helen Fielding	1996
Buddenbrooks	Thomas Mann	1901
Catch-22	Joseph Heller	1961
Children of Gebelawi	Naguib Mahfouz	1959
Citizen Of The Galaxy	Robert Heinlein	1957
Cold Mountain	Charles Frazier	1997
Confessions of Zeno	Italo Svevo	1923
Crime and Punishment	Fyodor Dostoyevsky	1866
Dangerous Liaisons	Pierre Choderlos De Laclos	1782
Darkness At Noon	Arthur Koestler	1940
David Copperfield	Charles Dickens	1850
Dead Souls	Nikolai Gogol	1842
Death Comes For The Archbishop	Willa Cather	1927
Deliverance	James Dickey	1970
Don Quixote	Miguel de Cervantes	1615
Double Star	Robert Heinlein	1956
Dracula	Bram Stoker	1897
Dragon's Teeth	Upton Sinclair	1942
Dr Jekyll And Mr Hyde	Robert Louis Stevenson	1886
Dune	Frank Herbert	1965
Early Autumn	Louis Bromfield	1926
East Of Eden	John Steinbeck	1952
Elbow Room	James Alan McPherson	1977
Emma	Jane Austen	1815
Empire Falls	Richard Russo	2001
Ender's Game	Orson Scott Card	1985
Essays	Michel de Montaigne	1595
Ethan Frome	Edith Wharton	1911
Fahrenheit 451	Ray Bradbury	1953
Fairy tales	Hans Christian Andersen	1837
Falconer	John Cheever	1977
Faust	Johann Wolfgang von Goethe	1832
Fear	L. Ron Hubbard	1940
Ficciones	Jorge Luis Borges	1986
Fifth Business	Robertson Davies	1970
Fight Club	Chuck Palahniuk	1996
Finnegans Wake	James Joyce	1939
Foreign Affairs	Alison Lurie	1984
For Whom The Bell Tolls	Ernest Hemingway	1940
Frankenstein	Mary Shelley	1818
Franny And Zooey	J.D. Salinger	1961
From Here To Eternity	James Jones	1951
Gilead	Marilynne Robinson	2004
Gone With The Wind	Margaret Mitchell	1936
Go Tell It On The Mountain	James Baldwin	1953
Gravity's Rainbow	Thomas Pynchon	1973
Great Expectations	Charles Dickens	1861
Guard of Honor	James Gould Cozzens	1948
Guilty Pleasures	Laurell K. Hamilton	1993
Gulliver's Travels	Jonathan Swift	1726
Gypsy Ballads	Federico García Lorca	1928
Hamlet	William Shakespeare	1603
Haroun And The Sea Of Stories	Salman Rushdie	1990
Heart Of Darkness	Joseph Conrad	1899
Henderson The Rain King	Saul Bellow	1959
His Family	Ernest Poole	1917
History	Elsa Morante	1974
Honey in the Horn	Harold L. Davis	1935
Housekeeping	Marilynne Robinson	1980
House Made of Dawn	N. Scott Momaday	1968
Howards End	E.M. Forster	1910
Humboldt's Gift	Saul Bellow	1975
Hunger	Knut Hamsun	1890
I, Claudius	Robert Graves	1934
Illusions	Richard Bach	1977
In Cold Blood	Truman Capote	1966
Independence Day	Richard Ford	1995
Independent People	Halldór Laxness	1935
In Our Time	Ernest Hemingway	1925
In Search of Lost Time	Marcel Proust	1927
Interpreter of Maladies	Jhumpa Lahiri	1999
In This Our Life	Ellen Glasgow	1941
Invisible Man	Ralph Ellison	1952
Ironweed	William Kennedy	1983
It	Stephen King	1986
Jacques the Fatalist	Denis Diderot	1796
Jazz	Toni Morrison	1992
Journey in the Dark	Martin Flavin	1943
Journey to the End of the Night	Louis-Ferdinand Céline	1932
Kim	Rudyard Kipling	1901
King Lear	William Shakespeare	1608
La Confidential	James Ellroy	1990
Lady Chatterley's Lover	D.H. Lawrence	1928
Lamb in His Bosom	Caroline Miller	1933
Laughing Boy	Oliver La Farge	1929
Leaves of Grass	Walt Whitman	1855
Le Père Goriot	Honoré de Balzac	1835
Les Miserables	Victor Hugo	1862
Light In August	William Faulkner	1932
Lolita	Vladimir Nabokov	1955
Lonesome Dove	Larry McMurtry	1985
Look Homeward, Angel	Thomas Wolfe	1929
Lord Jim	Joseph Conrad	1900
Lord Of The Flies	William Golding	1954
Love in the Time of Cholera	Gabriel García Márquez	1985
Loving	Henry Green	1945
Lucky Jim	Kingsley Amis	1954
Madame Bovary	Gustave Flaubert	1857
Main Street	Sinclair Lewis	1920
March	Geraldine Brooks	2005
Martin Dressler:The Tale of an American Dreamer	Steven Millhauser	1996
Memoirs Of A Geisha	Arthur Golden	1997
Memoirs of Hadrian	Marguerite Yourcenar	1951
Memory And Dream	Charles de Lint	1994
Men Without Women	Ernest Hemingway	1927
Middlemarch	George Eliot	1871
Middlesex	Jeffrey Eugenides	2002
Midnight's Children	Salman Rushdie	1981
Mission Earth	L. Ron Hubbard	1986
Moby-Dick	Herman Melville	1851
Molloy, Malone Dies, The Unnamable, a trilogy	Samuel Beckett	1953
Money	Martin Amis	1984
Moonheart	Charles de Lint	1984
Mrs. Dalloway	Virginia Woolf	1925
Mulengro	Charles de Lint	1985
My Antonia	Willa Cather	1900
Mythago Wood	Robert Holdstock	1984
Naked Lunch	William S. Burroughs	1959
Native Son	Richard Wright	1940
